customer_id,gstin,legal_name,trade_name,gst_status,gst_registration_date,gst_return_period,return_type,return_filing_date,return_status,filing_frequency,filing_delay_days,gstr1_sales_value,gstr3b_taxable_outward_supply,gstr3b_net_tax_liability,total_taxable_turnover,b2b_sales_amount,b2c_sales_amount,b2b_sales_percentage,b2c_sales_percentage,export_sales_amount,sez_sales_amount,reverse_charge_sales_amount,igst_amount,cgst_amount,sgst_amount,cess_amount,itc_available_amount,itc_claimed_amount,itc_reversed_amount,net_itc_amount,unique_buyer_count,unique_b2b_buyer_count,top_buyer_sales_percentage,buyer_concentration_level,monthly_turnover,quarterly_turnover,turnover_growth_mom,turnover_growth_qoq,turnover_growth_yoy,turnover_decline_percentage,consecutive_declining_quarters,filing_regularity_percentage,missed_return_count,late_return_count,business_vintage_years,annualised_gst_turnover,proposed_loan_amount,gst_turnover_to_loan_ratio,maximum_loan_by_gst_rule,gst_data_completeness_score,gst_risk_flag,gst_underwriting_score
CUSTGST0000019,06ABCDE000018FZ1,Manufacturing Enterprises 1018,Manufacturing Trade 1018,ACTIVE,2021-06-20,2026-10,GSTR3B,2026-10-24,FILED,MONTHLY,0,389548.2689,389782.7952,37795.9414,389782.7952,188652.6159,214790.9596,46.7606,53.2394,42057.803,9041.8499,648.0281,4489.2046,16149.6562,16149.6562,1007.4244,13838.5859,12757.0939,379.459,12377.6349,200,199,24.6696,LOW,403443.5754,1220480.0028,20.2755,-19.7669,8.3654,0.0,1,96.0,2,1,5.3252,4841322.9054,1617109.7287,2.9938,1644282.1699,0.9661,LOW,80.3812
CUSTGST0000020,36ABCDE000019FZ2,Technology Enterprises 1019,Technology Trade 1019,ACTIVE,2024-05-08,2024-09,GSTR3B,2024-09-03,LATE,MONTHLY,3,401787.1373,406643.5708,58405.056,406643.5708,190633.412,263374.5743,41.989,58.011,30107.3774,47.8609,17782.3624,25739.6246,15835.2668,15835.2668,994.8977,43988.4806,40618.4395,1191.6892,39426.7503,32,26,30.6185,MEDIUM,454007.9863,1239217.908,16.7267,7.3597,-1.7866,1.7866,1,88.8482,0,4,2.3871,5448095.8361,3620049.5211,1.505,2344263.7998,0.9846,LOW,76.9538
CUSTGST0000021,27ABCDE000020FZ3,Construction Enterprises 1020,Construction Trade 1020,ACTIVE,2024-04-04,2026-01,GSTR3B,2026-01-27,LATE,MONTHLY,7,497631.0461,496350.461,71168.818,496350.461,373815.0797,145706.705,71.9537,28.0463,93356.4456,8842.2508,4305.6215,13156.5576,27933.2211,27933.2211,2145.8181,22836.0589,19398.1692,2603.5504,16794.6188,19,10,10.6402,LOW,519521.7847,1583327.0696,-12.8381,-12.2036,-1.8834,1.8834,4,92.3811,2,1,2.0097,6234261.416,1115126.0692,5.5906,1610167.6124,0.9672,LOW,78.2512
CUSTGST0000022,09ABCDE000021FZ4,Logistics Enterprises 1021,Logistics Trade 1021,ACTIVE,2016-11-26,2025-06,GSTR1,2025-06-25,FILED,QUARTERLY,0,3695363.9116,3647398.5243,478426.0441,3647398.5243,2186261.9084,1707893.2532,56.1421,43.8579,565918.921,60930.0945,132393.4615,113013.7675,175673.0434,175673.0434,14066.1898,455643.1534,359332.4961,44731.6109,314600.8852,21,8,9.1966,LOW,3894155.1616,12354236.6506,1.8576,13.8849,-4.5795,4.5795,4,94.0,1,1,10.7423,46729861.9395,7871583.0818,5.9365,22947244.9133,0.9741,LOW,85.8492
CUSTGST0000023,29ABCDE000022FZ5,Food Enterprises 1022,Food Trade 1022,ACTIVE,2016-07-09,2025-09,GSTR3B,2025-09-24,LATE,MONTHLY,20,826997.2125,813352.0915,86410.1327,813352.0915,456829.604,459702.3947,49.8433,50.1567,58706.1057,68595.1688,34927.0247,17188.7818,29809.4759,29809.4759,9602.3992,43729.7834,36674.6626,926.0369,35748.6258,208,151,61.8084,HIGH,916531.9987,2608882.7144,-11.1606,12.1104,41.6431,0.0,1,58.6152,1,1,10.8646,10998383.9842,7443711.3194,1.4775,3619402.0583,0.9994,LOW,67.894
CUSTGST0000024,07ABCDE000023FZ6,Pharma Enterprises 1023,Pharma Trade 1023,ACTIVE,2021-03-25,2026-03,GSTR3B,2026-03-22,FILED,QUARTERLY,0,1233621.2484,1257224.7576,144580.9717,1257224.7576,1184851.7109,163261.5474,87.8896,12.1104,120680.6988,77217.9068,61786.8041,60236.8078,38296.2184,38296.2184,7751.727,91566.8069,65882.5487,12127.84,53754.7086,93,75,41.6307,MEDIUM,1348113.2584,3658063.3607,6.0059,-16.5609,9.8127,0.0,0,93.0,3,1,5.1632,16177359.1005,7661175.0437,2.1116,9901198.3376,0.9762,LOW,69.124
CUSTGST0000025,24ABCDE000024FZ7,Retail Enterprises 1024,Retail Trade 1024,ACTIVE,2022-03-18,2026-12,GSTR1,2026-12-25,LATE,MONTHLY,2,229980.1364,223745.0286,38418.9383,223745.0286,167016.1906,61023.0593,73.2401,26.7599,38120.4001,379.5993,451.488,4845.9145,15758.6501,15758.6501,2055.7237,25121.8443,21619.025,1919.4872,19699.5378,134,20,38.3119,MEDIUM,228039.2499,677723.5908,13.8278,25.7895,-17.7313,17.7313,2,97.0079,1,3,4.7711,2736470.9991,1317044.4085,2.0777,1256468.7167,0.9698,LOW,68.2611
CUSTGST0000026,33ABCDE000025FZ8,Wholesale Enterprises 1025,Wholesale Trade 1025,ACTIVE,2017-10-27,2024-02,GSTR3B,2024-02-09,LATE,MONTHLY,1,474287.9907,485071.5622,30369.0798,485071.5622,247266.0549,278322.5791,47.0455,52.9545,91610.1714,40655.7597,2718.2476,4965.7426,10073.5497,10073.5497,5256.2378,26325.4949,23615.2478,806.4647,22808.783,10,6,55.2933,HIGH,525588.634,1546309.3665,3.9691,0.5355,-11.9519,11.9519,2,97.9194,3,0,9.193,6307063.6075,5196226.5926,1.2138,1751556.1617,0.9962,MEDIUM,63.8484
CUSTGST0000027,19ABCDE000026FZ9,Manufacturing Enterprises 1026,Manufacturing Trade 1026,ACTIVE,2022-09-06,2025-11,GSTR1,2025-11-14,LATE,MONTHLY,15,304251.7303,304480.9793,31581.727,304480.9793,256942.295,61265.1202,80.7468,19.2532,6695.9948,13107.0711,12602.7495,3759.9344,12495.8439,12495.8439,2830.1047,13205.3033,10510.844,1444.3265,9066.5175,123,4,38.5039,MEDIUM,318207.4152,924008.1767,-13.546,1.9697,32.7215,0.0,0,80.2158,3,3,4.3706,3818488.9823,3172073.9279,1.2038,1766051.9491,0.9653,MEDIUM,61.1509
CUSTGST0000028,23ABCDE000027FZ1,Technology Enterprises 1027,Technology Trade 1027,ACTIVE,2018-06-01,2026-10,GSTR3B,2026-10-22,FILED,MONTHLY,0,235095.1806,235688.3829,42516.8136,235688.3829,210427.0802,55900.2611,79.0107,20.9893,16391.9698,19650.0448,12348.1035,4639.2139,18735.4308,18735.4308,406.7381,12842.803,10783.6241,1869.2277,8914.3964,190,8,35.7455,MEDIUM,266327.3413,800056.3132,-3.0491,-17.5177,1.7511,0.0,0,94.0,3,1,8.2451,3195928.0962,1821759.9356,1.7543,1657053.5019,0.9925,LOW,71.2242
CUSTGST0000029,06ABCDE000028FZ2,Construction Enterprises 1028,Construction Trade 1028,ACTIVE,2015-02-27,2025-06,GSTR1,2025-06-11,FILED,MONTHLY,0,238101.1456,244506.7771,29411.5181,244506.7771,137042.0787,125964.2151,52.106,47.894,27911.387,7925.7117,11123.3429,3683.0159,12790.5297,12790.5297,147.4427,13808.4535,9856.8878,1907.6614,7949.2265,131,8,36.9483,MEDIUM,263006.2938,727884.7465,-14.3025,-5.3714,-18.8911,18.8911,3,96.0,3,0,11.3798,3156075.5253,2195996.8687,1.4372,1398425.9836,0.9835,MEDIUM,61.4638
CUSTGST0000030,36ABCDE000029FZ3,Logistics Enterprises 1029,Logistics Trade 1029,ACTIVE,2016-08-06,2024-06,GSTR1,2024-06-18,LATE,MONTHLY,20,745534.6937,759428.2127,99765.2465,759428.2127,546085.8453,316552.0855,63.3042,36.6958,6028.5691,19461.1309,2764.8023,17632.9803,37848.0146,37848.0146,6436.237,57493.5526,47104.3338,6773.6353,40330.6986,40,29,53.7111,HIGH,862637.9309,2667752.0502,9.0709,-13.5899,5.029,0.0,0,76.6534,1,1,10.498,10351655.1704,3560023.4394,2.9077,6175815.2774,0.9931,LOW,77.0744
CUSTGST0000031,27ABCDE000030FZ4,Food Enterprises 1030,Food Trade 1030,ACTIVE,2017-09-04,2025-03,GSTR1,2025-03-19,LATE,MONTHLY,2,434628.7863,447503.7802,62139.2865,447503.7802,214039.1406,250894.3864,46.0365,53.9635,17910.1108,14270.0466,1312.0983,22275.5664,19200.3845,19200.3845,1462.951,58525.5881,48811.8637,2388.1381,46423.7256,233,141,20.1281,LOW,464933.527,1291876.1409,11.1634,-12.3975,30.8793,0.0,1,95.2242,0,2,9.3105,5579202.3235,4301196.9636,1.2971,2407048.785,0.9812,LOW,87.844
CUSTGST0000032,09ABCDE000031FZ5,Pharma Enterprises 1031,Pharma Trade 1031,ACTIVE,2021-03-20,2024-08,GSTR3B,2024-08-11,LATE,MONTHLY,2,365360.4638,371171.3968,68201.9641,371171.3968,187840.2643,198264.3016,48.6501,51.3499,41487.3877,16922.2098,11872.6912,21187.186,22759.2511,22759.2511,1496.2759,29526.1584,27480.8261,758.7443,26722.0818,24,18,14.5267,LOW,386104.5659,1195201.7544,-11.7165,19.17,1.1394,0.0,0,94.2707,3,0,5.0157,4633254.7903,1882737.8805,2.4609,2927509.2582,0.9843,LOW,77.8903
CUSTGST0000033,29ABCDE000032FZ6,Retail Enterprises 1032,Retail Trade 1032,ACTIVE,2015-10-06,2024-11,GSTR1,2024-11-23,FILED,MONTHLY,0,281920.8524,283535.9819,40192.4155,283535.9819,208233.484,96751.6644,68.2766,31.7234,35044.1854,11407.4368,14104.1599,7010.7804,15719.1476,15719.1476,1743.3399,13110.2593,10424.351,1538.3252,8886.0258,172,20,14.6658,LOW,304985.1483,823472.8178,-9.3918,-11.0204,31.2841,0.0,0,99.0,3,1,11.7787,3659821.7801,2266399.7256,1.6148,1556496.1092,0.978,LOW,71.6967
CUSTGST0000034,07ABCDE000033FZ7,Wholesale Enterprises 1033,Wholesale Trade 1033,ACTIVE,2016-12-06,2025-11,GSTR1,2025-11-05,FILED,MONTHLY,0,426570.6048,414827.1044,38441.1995,414827.1044,328560.69,102367.2138,76.2449,23.7551,42316.1218,11972.1942,9132.9524,4142.0342,15926.6809,15926.6809,2445.8036,40784.1809,38627.8589,383.2059,38244.6529,180,90,53.4352,HIGH,430927.9038,1207882.575,17.6504,-10.8601,43.5074,0.0,0,95.0,2,1,10.2888,5171134.8458,1820557.2347,2.8404,1840365.0373,0.998,LOW,74.1244
CUSTGST0000035,24ABCDE000034FZ8,Manufacturing Enterprises 1034,Manufacturing Trade 1034,ACTIVE,2016-01-23,2024-09,GSTR1,2024-09-11,LATE,MONTHLY,2,229046.8937,233089.0181,42160.9815,233089.0181,198793.9515,37768.6265,84.0344,15.9656,37908.153,15182.5157,7995.6861,6019.5059,17442.1945,17442.1945,1257.0866,10369.1883,8844.5263,183.9217,8660.6047,145,63,27.197,MEDIUM,236562.578,716965.3739,20.9061,-19.4836,20.7337,0.0,0,97.1988,1,2,10.8439,2838750.9359,484092.5891,5.8641,585190.5133,0.9993,LOW,86.4179
CUSTGST0000036,33ABCDE000035FZ9,Technology Enterprises 1035,Technology Trade 1035,ACTIVE,2016-03-01,2025-02,GSTR3B,2025-02-02,FILED,MONTHLY,0,1060408.6669,1079260.878,101218.9827,1079260.878,949216.9863,180284.6869,84.0386,15.9614,132732.3182,37798.7613,26246.3454,26688.8662,36117.9844,36117.9844,2294.1478,79529.6856,74247.0894,4050.0374,70197.052,207,162,61.7835,HIGH,1129501.6732,3452223.6538,16.8467,7.4533,28.6479,0.0,1,99.0,1,1,10.5872,13554020.0789,6457120.2129,2.0991,6310564.2876,0.9947,LOW,81.5469
CUSTGST0000037,19ABCDE000036FZ1,Construction Enterprises 1036,Construction Trade 1036,ACTIVE,2024-06-08,2025-01,GSTR3B,2025-01-20,LATE,MONTHLY,1,534261.1576,543211.071,45676.8171,543211.071,321535.8004,256488.5332,55.6267,44.3733,102374.592,25829.4006,12908.1154,6721.6482,16506.0744,16506.0744,5943.0202,64355.7773,51423.084,4048.8306,47374.2534,30,21,25.348,MEDIUM,578024.3336,1591717.9527,11.1375,-19.4632,-12.8055,12.8055,4,93.0864,0,1,2.4026,6936292.0036,4070804.3446,1.7039,2440410.4128,0.9704,LOW,88.0361
CUSTGST0000038,23ABCDE000037FZ2,Logistics Enterprises 1037,Logistics Trade 1037,ACTIVE,2015-05-10,2026-07,GSTR3B,2026-07-03,FILED,MONTHLY,0,264800.1831,271521.5451,29527.1375,271521.5451,110437.4447,166702.0074,39.8491,60.1509,37939.8165,18144.7654,4507.6699,7901.0629,9189.3175,9189.3175,3247.4395,15074.0511,13692.1966,455.8123,13236.3843,155,86,10.7044,LOW,277139.4521,838444.241,1.3883,16.9728,-24.0345,24.0345,2,95.0,1,1,11.1638,3325673.4248,1046018.225,3.1794,1448327.4438,0.9949,LOW,72.6621
CUSTGST0000039,06ABCDE000038FZ3,Food Enterprises 1038,Food Trade 1038,ACTIVE,2021-12-14,2025-05,GSTR1,2025-05-04,FILED,MONTHLY,0,197373.5257,200385.8003,13466.3398,200385.8003,136441.6641,68613.3377,66.5391,33.4609,15489.9044,5714.9409,819.2935,3713.0308,4288.2382,4288.2382,1176.8325,9023.3652,7422.6613,495.1087,6927.5527,135,100,44.5526,MEDIUM,205055.0018,554862.0457,-17.7253,7.5631,13.9148,0.0,1,94.0,1,0,5.8781,2460660.0212,626398.7782,3.9283,708759.6923,0.9578,LOW,85.0688
CUSTGST0000040,36ABCDE000039FZ4,Pharma Enterprises 1039,Pharma Trade 1039,ACTIVE,2018-01-21,2026-03,GSTR3B,2026-03-06,FILED,MONTHLY,0,710498.0457,709179.4602,113378.4084,709179.4602,273510.531,487328.2165,35.9486,64.0514,45230.1751,53325.2715,4905.8817,30058.0,38200.3796,38200.3796,6919.6492,71554.0853,60528.1129,6977.2939,53550.8191,237,17,31.7833,MEDIUM,760838.7475,2250612.6439,4.6747,-7.17,12.1008,0.0,1,98.0,1,0,8.3778,9130064.9702,2942274.5648,3.1031,4436924.8247,0.9543,LOW,92.1019
CUSTGST0000041,27ABCDE000040FZ5,Retail Enterprises 1040,Retail Trade 1040,ACTIVE,2020-07-04,2024-07,GSTR3B,2024-07-26,LATE,MONTHLY,15,560497.9872,552233.4001,79641.4191,552233.4001,379729.6481,199572.2735,65.5495,34.4505,19998.1294,11917.0442,6302.4942,30657.0898,21844.449,21844.449,5295.4312,59195.9901,45556.1297,5897.6091,39658.5206,130,16,7.8351,LOW,579301.9216,1668988.4268,-3.5494,-11.1488,33.9274,0.0,0,68.1868,3,0,6.5887,6951623.0597,2685698.8475,2.5884,2046523.4949,0.9757,MEDIUM,64.8701
CUSTGST0000042,09ABCDE000041FZ6,Wholesale Enterprises 1041,Wholesale Trade 1041,ACTIVE,2024-02-12,2026-10,GSTR1,2026-10-14,FILED,QUARTERLY,0,206780.3553,208166.8642,22084.511,208166.8642,155306.7338,58924.1952,72.495,27.505,14921.2855,8085.7395,349.1632,3412.0411,9024.3886,9024.3886,623.6926,20279.6793,16037.7835,1278.7413,14759.0422,61,60,55.3626,HIGH,214230.929,619865.3835,11.6545,16.6895,-2.3045,2.3045,3,100.0,0,1,2.4685,2570771.1485,790005.1561,3.2541,607151.8918,0.9821,LOW,88.4421
